sample_id,partner_sample_id_x,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,quarter,study_id,study_url,terms_of_use_expiry_date,terms_of_use_url,unrestricted_use,mean_cov,median_cov,modal_cov,mean_cov_2L,median_cov_2L,mode_cov_2L,mean_cov_2R,median_cov_2R,mode_cov_2R,mean_cov_3L,median_cov_3L,mode_cov_3L,mean_cov_3R,median_cov_3R,mode_cov_3R,mean_cov_X,median_cov_X,mode_cov_X,frac_gen_cov,divergence,contam_pct,contam_LLR,aim_species_fraction_arab,aim_species_fraction_colu,aim_species_fraction_colu_no2l,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter,partner_sample_id_y,RND,HSD,EA,HH,ID,HHID,HHID.rnd,Plate,Sample.identifier,Row,Column,Well,MolSpecies,Expected.species,kdr,N1575Y,Cyp4j5,Coeae1d,Pfal.score,OVM.score,Pfal,OVM,X2La,Cyp6p4,ZZB,Cyp6aa,Cyp6aa_Dup,lat,lon,survey,LLIN.intend,llin_actual,Net.intend,Net.actual,Wave,Location,subregions,species,control_phase,partner_sample_id
VBS50275-6645STDY11194051,108402032009,Martin Donnelly,Uganda,8402,2017,5,0.878,33.333,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,25.93,25,25,25.93,26,25,26.34,26,26,25.1,25,25,25.43,25,25,27.47,26,25,0.938,0.02128,1.614,1534.286,0.0030657214025675,0.021505376344086,0.0231213872832369,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108402032009,1.0,84.0,2.0,32.0,9.0,108402032.0,8402032.0,1.0,8.0,A,8.0,8A,S,GA,SS,NN,LL,SR,0.0,0.0,0.0,0.0,,MM,ZZ,DD,Dup,0.878611,33.32753,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108402032009
VBS50276-6645STDY11194052,108402032004,Martin Donnelly,Uganda,8402,2017,5,0.878,33.333,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,14.9,14,14,15.01,15,14,15.06,15,14,14.47,14,14,14.52,14,14,15.88,15,14,0.931,0.02122,2.308,1358.54,0.013611963190184,0.0222222222222222,0.0231023102310231,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108402032004,1.0,84.0,2.0,32.0,4.0,108402032.0,8402032.0,1.0,20.0,B,8.0,8B,S,GA,SS,NN,LL,SR,0.0,0.0,0.0,0.0,,MM,ZZ,DD,Dup,0.878611,33.32753,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108402032004
VBS50283-6645STDY11194053,108405057028,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,28.95,29,29,29.25,29,29,29.17,29,29,28.17,28,29,28.26,28,29,30.68,30,29,0.941,0.0203,1.858,2083.857,0.0026835345984282,0.025,0.0271381578947368,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057028,1.0,84.0,5.0,57.0,28.0,108405057.0,8405057.0,1.0,9.0,A,9.0,9A,S,GA,SS,NN,LF,SR,1.0,0.0,0.0,0.0,II,II,ZL,NN,WT,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057028
VBS50286-6645STDY11194055,108405057024,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,29.88,30,30,29.93,30,30,30.17,30,30,29.03,29,29,29.42,29,29,31.61,31,30,0.94,0.02116,1.871,2192.459,0.0042129452317119,0.0158159597411933,0.0157415078707539,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057024,1.0,84.0,5.0,57.0,24.0,108405057.0,8405057.0,1.0,45.0,D,9.0,9D,S,GA,SS,NN,LF,SR,0.0,0.0,0.0,0.0,SI,MM,ZZ,DD,Dup,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057024
VBS50287-6645STDY11194056,108405057036,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,28.6,28,28,28.47,28,28,29.07,29,29,27.56,27,27,28.06,28,28,30.67,29,28,0.939,0.02119,1.716,1896.248,0.0017247987734764,0.0129124820659971,0.0148514851485148,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057036,1.0,84.0,5.0,57.0,36.0,108405057.0,8405057.0,1.0,57.0,E,9.0,9E,S,GA,SS,NN,LL,SR,0.0,0.0,0.0,0.0,SI,MM,ZZ,DD,Dup,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057036
VBS50288-6645STDY11194057,108405057032,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,33.31,33,33,33.62,33,33,33.78,34,34,32.05,32,32,32.51,32,33,35.45,34,33,0.942,0.02029,1.728,2247.758,0.0045977011494252,0.0207439198855507,0.0214168039538715,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057032,1.0,84.0,5.0,57.0,32.0,108405057.0,8405057.0,1.0,69.0,F,9.0,9F,S,GA,SS,NN,LL,SR,0.0,0.0,0.0,0.0,II,MM,ZZ,DD,Dup,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057032
VBS50289-6645STDY11194058,108405057018,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,30.84,30,30,30.72,30,30,31.38,31,31,29.79,29,29,30.04,30,30,33.3,32,31,0.937,0.02197,1.786,2257.008,0.004601226993865,0.0186246418338108,0.0198019801980198,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057018,1.0,84.0,5.0,57.0,18.0,108405057.0,8405057.0,1.0,81.0,G,9.0,9G,S,GA,SS,NN,FF,SR,0.0,0.0,0.0,0.0,SS,MM,ZZ,DN,Dup,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057018
VBS50291-6645STDY11194059,108405057014,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,26.81,26,26,26.78,26,26,27.22,27,26,25.85,25,25,26.34,26,26,28.56,27,26,0.937,0.02128,1.522,1359.173,0.0019157088122605,0.0251979841612671,0.0289975144987572,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057014,1.0,84.0,5.0,57.0,14.0,108405057.0,8405057.0,1.0,83.0,G,11.0,11G,S,GA,SS,NN,LF,SR,0.0,0.0,0.0,0.0,,IM,ZL,DN,Dup,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057014
VBS50293-6645STDY11194060,108405057034,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,25.23,25,25,25.48,25,25,25.52,25,25,24.38,24,24,24.7,24,24,26.68,25,25,0.939,0.02041,1.704,1523.539,0.0022997316979685,0.0179726815240833,0.0198840099420049,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057034,1.0,84.0,5.0,57.0,34.0,108405057.0,8405057.0,1.0,12.0,A,12.0,12A,S,GA,SS,NN,LL,SR,0.0,0.0,0.0,0.0,SI,MM,ZZ,DD,Dup,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057034
VBS50294-6645STDY11194061,108405057006,Martin Donnelly,Uganda,8405,2017,5,0.957,33.341,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,31.74,31,31,31.61,31,31,32.3,32,32,30.58,30,30,30.98,31,31,34.28,33,32,0.937,0.02202,1.67,1908.424,0.0032548343863679,0.0179340028694404,0.0198347107438016,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Luuka,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Luuka_gamb_2017,UG-E_Luuka_gamb_2017_05,UG-E_Luuka_gamb_2017_Q2,108405057006,1.0,84.0,5.0,57.0,6.0,108405057.0,8405057.0,1.0,24.0,B,12.0,12B,S,GA,SS,NN,FF,SR,0.0,0.0,0.0,0.0,,MM,ZZ,DN,Dup,0.949423,33.34434,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,108405057006
