"","RND","HSD","EA","HH","ID","HHID","HHID.rnd","Plate","Sample.identifier","Row","Column","Well","MolSpecies","Expected.species","kdr","N1575Y","Cyp4j5","Coeae1d","Pfal.score","OVM.score","Pfal","OVM","X2La","Cyp6p4","ZZB","Cyp6aa","Cyp6aa_Dup","lat","lon","survey","LLIN.intend","LLIN.actual","Net.intend","Net.actual","Wave","Location","subregions","wgs.sample.id","species"
"1",1,76,9,9,2,107609009,7609009,1,1,"A",1,"1A","S","GA","SS","NN","LL","SS",0,0,0,0,"II","MM","ZZ","DD","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009002","An. gambiae"
"2",1,76,9,9,3,107609009,7609009,1,13,"B",1,"1B","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009003","An. gambiae"
"3",1,76,9,9,4,107609009,7609009,1,25,"C",1,"1C","S","GA","SS","NN","LF","SR",0,0,0,0,"SI","MM","ZZ","DN","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009004","An. gambiae"
"4",1,76,9,9,5,107609009,7609009,1,37,"D",1,"1D","S","GA","SS","NN","FF","SS",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009005","An. gambiae"
"5",1,76,9,9,6,107609009,7609009,1,49,"E",1,"1E","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009006","An. gambiae"
"6",1,76,9,9,7,107609009,7609009,1,61,"F",1,"1F","S","GA","FS","NN","LF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009007","An. gambiae"
"7",1,76,9,9,8,107609009,7609009,1,73,"G",1,"1G","S","GA","SS","NN","LF","SS",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009008","An. gambiae"
"8",1,76,9,9,9,107609009,7609009,1,85,"H",1,"1H","S","GA","SS","NN","LF","RR",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.95704,33.07413,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107609009009","An. gambiae"
"9",1,76,3,28,19,107603028,7603028,1,2,"A",2,"2A","S","GA","SS","NN","FF","RR",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028019","An. gambiae"
"10",1,76,3,28,29,107603028,7603028,1,14,"B",2,"2B","S","GA","FS","NN","FF","RR",0,0,0,0,"SS","IM","ZL","DD","Dup",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028029","An. gambiae"
